Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,350,Djenepo,5.2,5.2,Southampton,8,0.47,6,0.36,9,0.48
D,351,Salisu,4.5,4.5,Southampton,81,2.34,78,1.31,75,2.15
G,352,Hart,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00
G,353,Lloris,5.4,5.4,Spurs,89,6.77,88,4.06,87,3.94
M,354,Sissoko,4.4,4.4,Watford,86,5.10,84,2.70,83,2.09
D,355,Alderweireld,5.0,5.0,Spurs,0,0.00,0,0.00,0,0.00
M,356,Lamela,6.0,6.0,Spurs,0,0.00,0,0.00,0,0.00
F,357,Kane,12.4,12.4,Spurs,85,9.28,84,6.84,83,7.04
D,358,Aurier,4.9,4.9,Spurs,0,0.00,0,0.00,0,0.00
M,359,Son,11.0,11.0,Spurs,82,8.96,77,6.34,73,6.24
D,360,Doherty,4.6,4.6,Spurs,0,0.00,0,0.00,0,0.00
D,361,Dier,4.7,4.7,Spurs,84,4.51,83,3.93,81,3.78
M,362,Lucas Moura,5.9,5.9,Spurs,28,2.80,32,2.01,33,2.15
M,363,Dele,6.2,6.2,Everton,15,1.67,13,1.46,11,0.54
D,364,Davies,4.5,4.5,Spurs,79,4.28,78,3.75,72,3.44
M,365,Højbjerg,4.8,4.8,Spurs,86,4.94,84,3.07,82,3.06
M,366,Winks,4.4,4.4,Spurs,13,1.11,19,0.83,21,0.94
D,367,Sánchez,4.2,4.2,Spurs,25,1.43,30,1.48,34,1.67
D,368,Sessegnon,4.3,4.3,Spurs,72,5.20,67,4.17,58,3.57
M,369,Bergwijn,5.9,5.9,Spurs,10,1.18,15,1.03,21,1.49
D,370,Reguilón,5.1,5.1,Spurs,7,0.54,12,0.67,27,1.61
D,371,Tanganga,4.2,4.2,Spurs,0,0.00,0,0.00,0,0.00
M,372,Lo Celso,5.9,5.9,Spurs,0,0.00,0,0.00,0,0.00
M,373,Skipp,4.4,4.4,Spurs,0,0.00,0,0.00,0,0.00
D,374,Rodon,4.2,4.2,Spurs,2,0.15,4,0.20,6,0.27
M,375,Ndombele,5.7,5.7,Spurs,0,0.00,0,0.00,0,0.00
G,376,Foster,4.1,4.1,Watford,89,6.61,88,3.43,87,3.04
D,377,Rose,4.2,4.2,Watford,0,0.00,0,0.00,0,0.00
M,378,Gosling,4.7,4.7,Watford,0,0.01,0,0.01,1,0.07
D,379,Cathcart,4.2,4.2,Watford,7,0.44,11,0.35,13,0.26
F,380,Deeney,5.4,5.4,Watford,0,0.00,0,0.00,0,0.00
M,381,Cleverley,4.8,4.8,Watford,36,2.88,31,1.36,37,1.30
D,382,Femenía,4.3,4.3,Watford,75,4.43,71,2.51,66,1.19
F,383,Gray,5.4,5.4,Watford,0,0.00,0,0.00,0,0.00
D,384,Kabasele,4.3,4.3,Watford,82,4.37,79,2.50,76,1.23
M,385,Chalobah,5.0,5.0,Watford,0,0.00,0,0.00,0,0.00
M,386,Hughes,4.7,4.7,Crystal Palace,11,0.54,16,1.36,21,0.92
D,387,Troost-Ekong,4.3,4.3,Watford,5,0.30,9,0.28,11,0.22
F,388,Perica,4.5,4.5,Watford,0,0.00,0,0.00,0,0.00
G,389,Bachmann,4.0,4.0,Watford,1,0.07,2,0.07,3,0.09
D,390,Masina,4.3,4.3,Watford,12,0.71,11,0.35,14,0.29
M,391,Sema,5.2,5.2,Watford,2,0.29,3,0.20,4,0.23
M,392,Zinckernagel,5.5,5.5,Watford,0,0.00,0,0.00,0,0.00
F,393,Success,5.0,5.0,Watford,0,0.00,0,0.00,0,0.00
M,394,Dele-Bashiru,4.5,4.5,Watford,0,0.00,0,0.00,0,0.00
F,395,Fletcher,4.8,4.8,Watford,0,0.00,0,0.00,0,0.00
D,396,Sierralta,4.3,4.3,Watford,1,0.10,4,0.14,7,0.17
M,397,Quina,4.5,4.5,Watford,0,0.00,0,0.00,0,0.00
D,398,Navarro,4.0,4.0,Watford,0,0.00,0,0.00,0,0.00
M,399,Sarr,5.7,5.7,Watford,82,7.32,79,4.07,73,2.53
D,400,Ngakia,4.2,4.2,Watford,13,0.93,17,0.65,21,0.53
D,401,Wilmot,4.5,4.5,Watford,0,0.00,0,0.00,0,0.00
M,402,Hungbo,4.5,4.5,Watford,0,0.00,0,0.00,0,0.00
M,403,Louza,5.2,5.2,Watford,80,5.40,77,2.88,75,2.13
F,404,João Pedro,5.4,5.4,Watford,63,5.13,59,2.69,60,2.04
M,405,Baah,4.3,4.3,Watford,0,0.00,0,0.00,0,0.00
M,406,Noble,4.3,4.3,West Ham,25,1.29,5,0.31,8,0.44
G,407,Randolph,4.3,4.3,West Ham,1,0.06,0,0.02,2,0.07
G,408,Fabianski,5.0,5.0,West Ham,80,3.43,84,2.98,80,3.13
D,409,Ogbonna,4.9,4.9,West Ham,0,0.00,0,0.00,0,0.00
D,410,Reid,3.9,3.9,West Ham,0,0.00,0,0.00,0,0.00
D,411,Cresswell,5.5,5.5,West Ham,63,3.09,69,1.53,68,2.45
M,412,Yarmolenko,5.1,5.1,West Ham,37,2.59,11,0.57,13,0.74
F,413,Antonio,7.4,7.4,West Ham,49,2.99,78,2.87,73,3.32
D,414,Dawson,4.9,4.9,West Ham,84,3.58,81,1.52,80,2.52
D,415,Fredericks,4.4,4.4,West Ham,11,0.50,4,0.12,7,0.25
M,416,Lanzini,5.6,5.6,West Ham,45,2.49,51,1.95,53,2.32
D,417,Masuaku,4.4,4.4,West Ham,14,0.64,9,0.23,8,0.30
D,418,Coufal,4.7,4.7,West Ham,72,3.20,77,1.58,76,2.51
M,419,Benrahma,5.9,5.9,West Ham,60,3.53,50,1.99,48,2.30
M,420,Bowen,6.9,6.9,West Ham,55,3.51,72,2.77,69,3.29
M,421,Rice,5.0,5.0,West Ham,62,2.08,82,2.07,81,2.29
M,422,Soucek,5.7,5.7,West Ham,58,2.64,86,2.57,84,2.97
M,423,Fornals,6.0,6.0,West Ham,54,2.75,57,1.96,59,2.34
